# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Desserts By Night,-37.9507,145.153,cafe,STANDALONE_PARKING,33,surface,3
Dezy's,-37.955,145.0329,fast_food,STANDALONE,118,surface,4
Dingley Cellars,-37.9833,145.1314,alcohol,STANDALONE_PARKING,9,street_side,3
Dingley Fish & Chips,-37.9833,145.1325,fast_food,STRIP,69,surface,6
Dingley International,-37.9791,145.1121,pub,STANDALONE_PARKING,50,surface,0
Dingley Thai,-37.9832,145.1314,restaurant,STANDALONE_PARKING,10,street_side,2
Direct Chemist Outlet Clarinda,-37.9409,145.1038,chemist,STANDALONE_PARKING,55,surface,4
Discount Groceries,-37.983,145.0647,convenience,STRIP,97,surface,9
Dolan Uyghur,-37.9492,145.1521,restaurant,STRIP,19,surface,9
Domino's,-37.9886,145.2164,fast_food,STANDALONE_PARKING,45,surface,4
Domino's,-37.9655,145.0554,fast_food,STRIP,32,street_side,8
Doms Pizza,-37.9902,145.1829,fast_food,STANDALONE,323,surface,4
Dosa Plaza,-37.9844,145.2142,restaurant,STANDALONE,81,surface,4
Double D,-37.9506,145.1541,cafe,STANDALONE_PARKING,50,surface,0
Double D Plus,-37.9933,145.1738,fast_food,MALL,38,surface,2
Douglas Hot Bread & Cakes,-37.9673,145.1757,bakery,STANDALONE_PARKING,40,surface,2
Drip,-37.9562,145.0577,cafe,STANDALONE,214,street_side,3
Drive through bottleshop,-37.9796,145.1111,alcohol,STANDALONE_PARKING,79,surface,0
Ducky Espresso Cafe,-37.958,145.0548,cafe,MALL,86,surface,0
Dumpling Chef,-37.9581,145.053,restaurant,MALL,79,surface,15
Duncan,-37.9899,145.2115,alcohol,STANDALONE_PARKING,32,surface,1
Duncan's,-37.9839,145.0647,alcohol,STRIP,87,surface,6
Duncan's,-37.955,145.0328,alcohol,STANDALONE,123,surface,4
Duncan's,-37.945,145.0472,alcohol,STANDALONE_PARKING,21,street_side,1
EG Ampol,-38.0012,145.1058,convenience,STANDALONE_PARKING,18,surface,0
EG Ampol,-38.0699,145.1405,convenience,STANDALONE,95,street_side,0
EG Ampol,-37.967,145.1876,convenience,STANDALONE,253,surface,0
EG Australia,-37.9866,145.146,convenience,STANDALONE_PARKING,73,surface,0
EG Australia,-37.9408,145.1021,convenience,STANDALONE,86,surface,0
EJZ Pizza,-37.9741,145.1869,fast_food,STANDALONE_PARKING,24,street_side,2
Eat On Cafe,-37.9873,145.1005,fast_food,STANDALONE,393,surface,0
Edithvale Community Greengrocer,-38.037,145.1073,greengrocer,STRIP,94,surface,6
Edithvale Fish & Chips,-38.0367,145.1072,fast_food,STRIP,60,surface,6
El Jannah,-37.9837,145.2138,fast_food,STANDALONE_PARKING,57,surface,1
Emrah Food Mart,-37.9893,145.2165,deli,STANDALONE_PARKING,61,surface,2
Euro Pizza,-37.9533,145.0636,fast_food,STANDALONE_PARKING,15,street_side,2
Express & Fresh,-37.9617,145.1436,greengrocer,STANDALONE_PARKING,35,surface,3
Fab Kebab Cafe,-37.9825,145.1894,fast_food,STANDALONE,529,surface,0
Fairy Bird Chinese Take Away,-38.0387,145.1084,fast_food,STANDALONE,218,surface,2
Farm Fresh Free Range,-37.9585,145.0513,butcher,MALL,6,surface,3
Fat Bob's Bar & Grill,-37.9437,145.0697,bar,STANDALONE,257,surface,0
Ferguson Plarre Bakehouse,-37.9587,145.0551,bakery,MALL,94,multi-storey,9
Ferguson Plarre's Bakehouse,-38.0685,145.1444,bakery,MALL,47,surface,3
Fiji Bula Shop,-37.9898,145.2123,convenience,STANDALONE_PARKING,20,surface,1
Fine China,-37.9489,145.0427,fast_food,STRIP,5,street_side,9
Fine Kebabs,-38.007,145.2182,fast_food,STANDALONE,201,surface,0
First Taste,-37.952,145.1515,restaurant,STRIP,7,street_side,20
First Taste,-37.9521,145.1515,restaurant,STRIP,18,street_side,19
Fish to go,-37.9947,145.1739,fast_food,STANDALONE_PARKING,13,surface,5
Fishy Feast,-37.9834,145.0852,fast_food,STANDALONE_PARKING,21,street_side,3
Foodary,-37.965,145.0554,convenience,STANDALONE_PARKING,61,surface,1
Foodary,-38.0429,145.14,convenience,STANDALONE_PARKING,41,surface,0
Foodary,-37.9543,145.0761,convenience,STANDALONE,134,surface,0
Foodworks,-37.9706,145.0688,supermarket,STANDALONE_PARKING,15,street_side,0
Foodworks,-38.0266,145.1022,supermarket,STANDALONE_PARKING,12,surface,4
Foodworks,-37.9808,145.1658,supermarket,STRIP,24,surface,6
Foodworks,-37.967,145.0569,supermarket,STANDALONE_PARKING,5,street_side,2
Foodworks,-37.936,145.0612,supermarket,STRIP,13,street_side,9
Foodworks Bottle Shop,-37.9808,145.1657,alcohol,STANDALONE_PARKING,16,surface,4
